EVT,Past,ACRES
Current Agricultural,Past Conifer,45303
Current Agricultural,Past Grassland,1
Current Agricultural,Past Hardwood,147806
Current Agricultural,Past Conifer-Hardwood,34422
Current Agricultural,Past Riparian,13808
Current Conifer,Past Conifer,329810
Current Conifer,Past Grassland,38
Current Conifer,Past Hardwood,140372
Current Conifer,Past Conifer-Hardwood,214827
Current Conifer,Past Riparian,171267
Current Conifer-Hardwood,Past Conifer,48782
Current Conifer-Hardwood,Past Grassland,1
Current Conifer-Hardwood,Past Hardwood,66011
Current Conifer-Hardwood,Past Conifer-Hardwood,61567
Current Conifer-Hardwood,Past Riparian,6901
Current Developed,Past Conifer,82181
Current Developed,Past Grassland,26
Current Developed,Past Hardwood,113058
Current Developed,Past Conifer-Hardwood,70994
Current Developed,Past Riparian,29172
Current Exotics,Past Conifer,32323
Current Exotics,Past Grassland,1
Current Exotics,Past Hardwood,34219
Current Exotics,Past Conifer-Hardwood,18594
Current Exotics,Past Riparian,15608
Current Grassland,Past Conifer,260
Current Grassland,Past Hardwood,84
Current Grassland,Past Conifer-Hardwood,79
Current Grassland,Past Riparian,29
Current Hardwood,Past Conifer,238888
Current Hardwood,Past Grassland,16
Current Hardwood,Past Hardwood,1183678
Current Hardwood,Past Conifer-Hardwood,280087
Current Hardwood,Past Riparian,133715
Current Riparian,Past Conifer,86206
Current Riparian,Past Grassland,22
Current Riparian,Past Hardwood,53740
Current Riparian,Past Conifer-Hardwood,52994
Current Riparian,Past Riparian,1794850
